"","team_records_season","team_records_team_name","team_records_league_record_wins","team_records_league_record_losses","team_records_league_record_pct","team_records_runs_allowed","team_records_runs_scored","rsra","exp1point2","exp1point3","exp1point4","exp1point5","exp1point6","exp1point7","exp1point8","exp1point9","exp2point0","exp2point1","exp2point2","exp2point3","exp2point4","exp2point5","absoluteerror1point2","absoluteerror1point3","absoluteerror1point4","absoluteerror1point5","absoluteerror1point6","absoluteerror1point7","absoluteerror1point8","absoluteerror1point9","absoluteerror2point0","absoluteerror2point1","absoluteerror2point2","absoluteerror2point3","absoluteerror2point4","absoluteerror2point5","deviation1point2","deviation1point3","deviation1point4","deviation1point5","deviation1point6","deviation1point7","deviation1point8","deviation1point9","deviation2point0","deviation2point1","deviation2point2","deviation2point3","deviation2point4"
"1","2018","Boston Red Sox",108,54,0.667,647,876,1.35394126738794,0.589917359224209,0.597227381880605,0.604494461025804,0.611715668130307,0.618888153350626,0.626009149580513,0.633075976212615,0.640086042602034,0.647036851224931,0.653926000527049,0.660751187458651,0.667510209694074,0.674200967535674,0.680821465503511,0.0770826407757913,0.0697726181193954,0.0625055389741959,0.0552843318696935,0.0481118466493745,0.0409908504194875,0.0339240237873848,0.0269139573979664,0.0199631487750689,0.013073999472951,0.00624881254134901,0.000510209694074004,0.00720096753567367,0.0138214655035108,0.0472794830338027,0.0426733870282442,0.0376462589328349,0.0322282271534082,0.0264733489014735,0.0202542494638852,0.0135109537091174,0.00599431808233539,0.00207452262361814,0.0106110768342637,0.0195210536637238,0.02769018241598,0.023763770002293
"2","2018","New York Yankees",100,62,0.617,669,851,1.27204783258595,0.57169098634155,0.577572584851346,0.58343226797643,0.589268471402432,0.595079656862061,0.600864313666494,0.606620960173357,0.612348145188552,0.618044449299431,0.623708486137094,0.629338903565824,0.634934384797969,0.640493649432823,0.646015454418347,0.0453090136584495,0.0394274151486537,0.0335677320235702,0.0277315285975681,0.021920343137939,0.016135686333506,0.0103790398266429,0.00465185481144825,0.00104444929943115,0.00670848613709396,0.0123389035658239,0.0179343847979687,0.0234936494328235,0.0290154544183472,0.015505855916461,0.0123281840575025,0.00870845198220921,0.00467542388128278,0.000281845390038039,0.00460091462209624,0.0100340302516245,0.0162677845041828,0.0209932220992559,0.0169765901701207,0.013430962639249,0.0102660073120852,0.0074710881051432
"3","2018","Tampa Bay Rays",90,72,0.556,646,716,1.10835913312693,0.530825057013264,0.533386463143471,0.535946110298815,0.538503864973948,0.541059594061006,0.543613164877084,0.546164445191511,0.548713303252926,0.551259607816149,0.553803228168819,0.556344034157803,0.558881896215355,0.561416685385023,0.563948273347282,0.0251749429867361,0.0226135368565291,0.0200538897011847,0.0174961350260524,0.0149404059389939,0.0123868351229156,0.00983555480848908,0.00728669674707383,0.00474039218385081,0.00219677183118072,0.00034403415780293,0.00288189621535517,0.00541668538502293,0.00794827334728154,0.00462821475525249,0.00448569423462209,0.0048053903401763,0.00555996969023293,0.00669809180890703,0.00834976583268667,0.0105775152697783,0.0136329425685572,0.0172972792148362,0.021488304476034,0.0254258320472699,0.0253184958946988,0.0255480521529438
"4","2018","Toronto Blue Jays",73,89,0.451,832,709,0.852163461538462,0.452153776723488,0.448194092065114,0.444240965206687,0.440294884416278,0.43635633442317,0.432425796184937,0.42850374665852,0.424590658575495,0.420687000221775,0.41679323522194,0.412909822328402,0.409037215215597,0.405175862279383,0.401326206441827,0.00115377672348843,0.00280590793488583,0.00675903479331325,0.0107051155837218,0.0146436655768304,0.0185742038150629,0.02249625334148,0.026409341424505,0.030312999778225,0.03420676477806,0.0380901776715977,0.0419627847844029,0.045824137720617,0.0496737935581729,0.0286493810185001,0.0242933231562654,0.0181002452480478,0.0123509891325636,0.00699483217107057,0.00216239714053942,0.00208318326321267,0.00548970210887398,0.00827532837953802,0.0105216884708453,0.0123203114665248,0.0137623926743489,0.0148594001826503
"5","2018","Baltimore Orioles",47,115,0.29,892,622,0.697309417040359,0.393498189237729,0.384927805507695,0.376428231427027,0.368004045951782,0.359659650123044,0.3513992593558,0.343226896604989,0.335146386420805,0.327161349898693,0.319275200523074,0.311491140897656,0.303812160349374,0.296241033387484,0.288780318994303,0.103498189237729,0.0949278055076946,0.0864282314270272,0.0780040459517816,0.069659650123044,0.0613992593558003,0.0532268966049894,0.0451463864208052,0.0371613498986934,0.0292752005230739,0.0214911408976564,0.0138121603493743,0.00624103338748383,0.00121968100569664,0.0736950314957406,0.0678285744165434,0.0615689513856661,0.0549479412354962,0.0480211523751431,0.040662658400198,0.032813826526722,0.0242267471051741,0.0151236785000063,0.00559012421585924,0.00427872530741644,0.0143882317606796,0.0247237041504829
"6","2018","Cleveland Indians",91,71,0.562,648,818,1.26234567901235,0.569439812075223,0.575142283680642,0.580824825558865,0.58648600829201,0.592124424732929,0.59773869133206,0.603327449413202,0.608889366395922,0.614423136962502,0.619927484167531,0.625401160488434,0.630842948815464,0.636251663379857,0.641626150619081,0.00743981207522337,0.0131422836806419,0.0188248255588647,0.0244860082920101,0.0301244247329293,0.0357386913320602,0.0413274494132018,0.0468893663959215,0.0524231369625023,0.0579274841675314,0.0634011604884342,0.0688429488154637,0.0742516633798566,0.0796261506190806,0.0223633456667652,0.0139569474105093,0.00603445448249635,0.00142990357572475,0.00848592698502835,0.0150020903764579,0.0209143793349344,0.0259697270802904,0.0303854655638153,0.0342424078603167,0.0376312942833614,0.0406425567054097,0.0432869258418899
"7","2018","Minnesota Twins",78,84,0.481,775,738,0.952258064516129,0.485328451569998,0.484106614588635,0.482884967585763,0.481663525131071,0.480442301784473,0.47922131209542,0.478000570602202,0.476780091831265,0.475559890296516,0.474339980498633,0.473120376924385,0.471901094045942,0.47068214632019,0.469463548188052,0.00432845156999778,0.00310661458863509,0.00188496758576351,0.000663525131071097,0.000557698215526758,0.00177868790458047,0.00299942939779779,0.00421990816873452,0.00544010970348446,0.00666001950136708,0.00787962307561468,0.00909890595405799,0.01031785367981,0.0115364518119484,0.0254747061719908,0.0239926165025161,0.0229743124555975,0.0223925795852142,0.0210807995323742,0.0189579130510218,0.0174136406804696,0.0166997311468965,0.0165975616952026,0.0170250568058476,0.0178902431294582,0.019101486155996,0.0206468838581567
"8","2018","Detroit Tigers",64,98,0.395,796,630,0.791457286432161,0.430293142632058,0.424569393857948,0.418865803890143,0.413183817767722,0.407524857835162,0.40189032239231,0.39628158439679,0.390699990221165,0.38514685846702,0.379623478837868,0.374131111072631,0.368670983941214,0.363244294303454,0.357852206232556,0.035293142632058,0.0295693938579481,0.0238658038901427,0.0181838177677221,0.0125248578351621,0.00689032239231041,0.00128158439678949,0.00430000977883466,0.00985314153297956,0.0153765211621325,0.020868888927369,0.0263290160587858,0.0317557056965462,0.0371477937674439,0.00548998489006946,0.0024701627667969,0.000993476151218312,0.00487228694856323,0.00911363991273891,0.0138462785632919,0.0191314856814779,0.0166196295367964,0.0121845298657075,0.00830855514508217,0.00490097727770381,0.00187137605126812,0.000790968158579528
"9","2018","Chicago White Sox",62,100,0.383,848,656,0.773584905660377,0.423587409582413,0.417331923858274,0.411102931906588,0.4049023048283,0.398731878121174,0.392593449648172,0.386488777703379,0.380419579179393,0.374387527839644,0.368394252698678,0.36244133651299,0.356530314384526,0.350662672478561,0.344839846857161,0.0405874095824135,0.0343319238582738,0.0281029319065881,0.0219023048282997,0.0157318781211738,0.00959344964817194,0.00348877770337919,0.002580420820607,0.00861247216035632,0.0146057473013219,0.0205586634870102,0.0264696856154735,0.0323373275214388,0.0381601531428393,0.0107842518404249,0.00723269276712262,0.00324365186522707,0.00115379988798564,0.00590661962672714,0.0111431513074303,0.0169242923748882,0.018339218495024,0.0134251992383307,0.00907932900589277,0.00521120271806261,0.00173070649458044,0.00137258998347205
"10","2018","Kansas City Royals",58,104,0.358,833,638,0.765906362545018,0.420667356876405,0.414181928158944,0.407726116666747,0.401301999533494,0.394911611125286,0.388556940648384,0.382239929882494,0.375962471044347,0.369726404785759,0.363533518329709,0.357385543747404,0.35128415637866,0.345230973397332,0.33922755252294,0.0626673568764052,0.0561819281589439,0.0497261166667466,0.0433019995334936,0.0369116111252856,0.0305569406483842,0.024239929882494,0.0179624710443473,0.011726404785759,0.005533518329709,0.000614456252595763,0.00671584362134048,0.012769026602668,0.0187724474770598,0.0328641991344166,0.0290826970677926,0.0248668366253856,0.0202458948172083,0.0152731133773846,0.00982033969278193,0.00382685980422659,0.00295716827128375,0.010311266612928,0.0181515579775057,0.0251554099524771,0.0214845484887135,0.0181957109352987
