"","team_records_season","team_records_team_name","team_records_league_record_pct","exp1point7"
"102","2019","San Francisco Giants",0.475,0.444498657010251
"103","2019","Colorado Rockies",0.438,0.441862329779153
"104","2019","San Diego Padres",0.432,0.438376805113646
"105","2021","Atlanta Braves",0.547,0.578344886307937
"106","2021","Philadelphia Phillies",0.506,0.493678381222155
"107","2021","New York Mets",0.475,0.479149015292012
"108","2021","Miami Marlins",0.414,0.450033751666982
"109","2021","Washington Nationals",0.401,0.447278698650585
"110","2021","Milwaukee Brewers",0.586,0.571500410109818
"111","2021","St. Louis Cardinals",0.556,0.520964382959285
"112","2021","Cincinnati Reds",0.512,0.5142924079927
"113","2021","Chicago Cubs",0.438,0.426579161889745
"114","2021","Pittsburgh Pirates",0.377,0.369941884732375
"115","2021","San Francisco Giants",0.66,0.625889800899688
"116","2021","Los Angeles Dodgers",0.654,0.660584079237269
"117","2021","San Diego Padres",0.488,0.512420040826531
"118","2021","Colorado Rockies",0.46,0.468463880540155
"119","2021","Arizona Diamondbacks",0.321,0.385624721763475
"120","2022","Atlanta Braves",0.623,0.608309471158718
"121","2022","New York Mets",0.623,0.601466135385417
"122","2022","Philadelphia Phillies",0.537,0.53675825964846
"123","2022","Miami Marlins",0.426,0.43957561253097
"124","2022","Washington Nationals",0.34,0.355806234187398
"125","2022","St. Louis Cardinals",0.574,0.580972121993196
"126","2022","Milwaukee Brewers",0.531,0.522247996836769
"127","2022","Chicago Cubs",0.457,0.454764018654909
"128","2022","Cincinnati Reds",0.383,0.403764097324404
"129","2022","Pittsburgh Pirates",0.383,0.365748591183754
"130","2022","Los Angeles Dodgers",0.685,0.701075016471691
"131","2022","San Diego Padres",0.549,0.528002802962708
"132","2022","San Francisco Giants",0.5,0.511428280631102
"133","2022","Arizona Diamondbacks",0.457,0.477610350741192
"134","2022","Colorado Rockies",0.42,0.406050208802117
"135","2023","Atlanta Braves",0.642,0.61664975948832
"136","2023","Philadelphia Phillies",0.556,0.545483488250114
"137","2023","Miami Marlins",0.519,0.465155762320724
"138","2023","New York Mets",0.463,0.492946364133761
"139","2023","Washington Nationals",0.438,0.420667048259668
"140","2023","Milwaukee Brewers",0.568,0.549963465221033
"141","2023","Chicago Cubs",0.512,0.552789348658835
"142","2023","Cincinnati Reds",0.506,0.479869960953214
"143","2023","Pittsburgh Pirates",0.469,0.443946640766508
"144","2023","St. Louis Cardinals",0.438,0.439791088379472
"145","2023","Los Angeles Dodgers",0.617,0.608487888786694
"146","2023","Arizona Diamondbacks",0.519,0.491540010458739
"147","2023","San Diego Padres",0.506,0.56292400787951
"148","2023","San Francisco Giants",0.488,0.472559320111736
"149","2023","Colorado Rockies",0.364,0.381926492593027
